"species","model","cv","COR","ROC","PRG"
"can07","BRT-stump","spatial",0.0895982427514045,0.669758992030313,0.302384698758671
"can07","BRT-stump","random",0.0972288084090753,0.678706203042536,0.487256765157777
"can07","MaxEnt-LQP","spatial",0.0892616360884619,0.668772122311996,0.619339888517162
"can07","MaxEnt-LQP","random",0.0913615138832591,0.671648998345209,0.569646727198927
"can08","BRT-stump","spatial",0.0678712022133897,0.541028543338711,0.0984239625983458
"can08","BRT-stump","random",0.0755955987646648,0.54596934579079,0.116889750619997
"can08","MaxEnt-LQP","spatial",0.0882099411077282,0.555754274753725,0.119961607917587
"can08","MaxEnt-LQP","random",0.0976479268572524,0.565585164146686,0.183038590070893
"can09","BRT-stump","spatial",0.082987527741177,0.73754760477309,0.5584088841681
"can09","BRT-stump","random",0.0866892739166096,0.745288702936005,0.714450853442821
"can09","MaxEnt-LQP","spatial",0.0896611457508828,0.729012596955344,0.901594039977602
"can09","MaxEnt-LQP","random",0.0875905158358012,0.716472273413205,0.871215794451489
"can10","BRT-stump","spatial",0.198786566602378,0.714236358660783,0.584689971495313
"can10","BRT-stump","random",0.191296212830681,0.714668745484082,0.488134589451481
"can10","MaxEnt-LQP","spatial",0.173074198264174,0.676178096561764,0.327252383334509
"can10","MaxEnt-LQP","random",0.171109796036377,0.667144932702461,0.278096741285595
"can11","BRT-stump","spatial",0.145404541543898,0.591900076781032,0.209678296798004
"can11","BRT-stump","random",0.136502162109335,0.587353387178758,0.206363105532432
"can11","MaxEnt-LQP","spatial",0.150927509407992,0.593172170276926,0.218073111314573
"can11","MaxEnt-LQP","random",0.143004740599281,0.589351053518287,0.208898285186103
"can12","BRT-stump","spatial",0.409939420825894,0.844081493866776,0.81319899416443
"can12","BRT-stump","random",0.421110704556916,0.847584701083304,0.811673020199797
"can12","MaxEnt-LQP","spatial",0.437432238591495,0.841536196398493,0.818149199918538
"can12","MaxEnt-LQP","random",0.441444032638618,0.844512889961465,0.821800304974913
"can13","BRT-stump","spatial",0.0527433275612815,0.590170471195118,0.498606253486106
"can13","BRT-stump","random",0.0731026479750379,0.594022838970806,0.580900396773854
"can13","MaxEnt-LQP","spatial",0.105711658883296,0.627217177706593,0.673487467295562
"can13","MaxEnt-LQP","random",0.113285811587341,0.634460138493103,0.711170038252974
"can14","BRT-stump","spatial",0.200445968181283,0.866437442664598,0.882550815951168
"can14","BRT-stump","random",0.212388932444209,0.897932926398919,0.917047063999601
"can14","MaxEnt-LQP","spatial",0.233732736476277,0.890902812080927,0.877027877744469
"can14","MaxEnt-LQP","random",0.222125221698578,0.891063880460029,0.919893812978219
